huc12_id,year,irrwdtot_mgd,irrwdsw_mgd,irrwdgw_mgd
120200020303,2000,0.0,0.0,0.0
120200020303,2001,0.0,0.0,0.0
120200020303,2002,0.0,0.0,0.0
120200020303,2003,0.0,0.0,0.0
120200020303,2004,0.0,0.0,0.0
120200020303,2005,0.0,0.0,0.0
120200020303,2006,0.0,0.0,0.0
120200020303,2007,0.0,0.0,0.0
120200020303,2008,0.0,0.0,0.0
120200020303,2009,0.0,0.0,0.0
120200020303,2010,0.0,0.0,0.0
120200020303,2011,0.0,0.0,0.0
120200020303,2012,0.0,0.0,0.0
120200020303,2013,0.0,0.0,0.0
120200020303,2014,0.0,0.0,0.0
120200020303,2015,0.0,0.0,0.0
120200020303,2016,0.0,0.0,0.0
120200020303,2017,0.0,0.0,0.0
120200020303,2018,0.0,0.0,0.0
120200020303,2019,0.0,0.0,0.0
120200020303,2020,0.0,0.0,0.0
120200020304,2000,0.0,0.0,0.0
120200020304,2001,0.0,0.0,0.0
120200020304,2002,0.0,0.0,0.0
120200020304,2003,0.0,0.0,0.0
120200020304,2004,0.0,0.0,0.0
120200020304,2005,0.0,0.0,0.0
120200020304,2006,0.0,0.0,0.0
120200020304,2007,0.0,0.0,0.0
120200020304,2008,0.0,0.0,0.0
120200020304,2009,0.0,0.0,0.0
120200020304,2010,0.0,0.0,0.0
120200020304,2011,0.0,0.0,0.0
120200020304,2012,0.0,0.0,0.0
120200020304,2013,0.0,0.0,0.0
120200020304,2014,0.0,0.0,0.0
120200020304,2015,0.0,0.0,0.0
120200020304,2016,0.0,0.0,0.0
120200020304,2017,0.0,0.0,0.0
120200020304,2018,0.0,0.0,0.0
120200020304,2019,0.0,0.0,0.0
120200020304,2020,0.0,0.0,0.0
120200020305,2000,0.0,0.0,0.0
120200020305,2001,0.0,0.0,0.0
120200020305,2002,0.0,0.0,0.0
120200020305,2003,0.0,0.0,0.0
120200020305,2004,0.0,0.0,0.0
120200020305,2005,0.0,0.0,0.0
120200020305,2006,0.0,0.0,0.0
120200020305,2007,0.0,0.0,0.0
120200020305,2008,0.0,0.0,0.0
120200020305,2009,0.0,0.0,0.0
120200020305,2010,0.0,0.0,0.0
120200020305,2011,0.0,0.0,0.0
120200020305,2012,0.0,0.0,0.0
120200020305,2013,0.0,0.0,0.0
120200020305,2014,0.0,0.0,0.0
120200020305,2015,0.0,0.0,0.0
120200020305,2016,0.0,0.0,0.0
120200020305,2017,0.0,0.0,0.0
120200020305,2018,0.0,0.0,0.0
120200020305,2019,0.0,0.0,0.0
120200020305,2020,0.0,0.0,0.0
120200020306,2000,0.0,0.0,0.0
120200020306,2001,0.0,0.0,0.0
120200020306,2002,0.0,0.0,0.0
